Autor,Titulo,Año de publicación,Volumen,Pagina-inicio,Pagina-fin,No páginas,No referencias,Referentes,URL,DOI,PDF,Idioma,Tipo de documento,Área temática/campo,Notas,Edición,Tomo,Número,ISBN
"Bustamante y Septiem, Miguel",Marfil vegetal,1843,1,456,456,1,,Marfil vegetal,https://books.google.com.mx/books?id=T1Y-AAAAYAAJ&pg=PA456&dq=Marfil+vegetal+Miguel+Bustamante&hl=es-419&sa=X&ved=2ahUKEwjYtZLW7NfsAhWHKM0KHTMYCtIQ6AEwAHoECAMQAg#v=onepage&q=Marfil%20vegetal%20Miguel%20Bustamante&f=false,,Si,Español,Artículo,Ciencias de la vida,,,1,,
"Bustamante y Rocha, Pío","Discurso expositivo que leyó en los Actos de Botánica, el Profesor de este ramo",1845,,,,,,Discurso; actos; Botánica,,,No,Español,,Ciencias de la vida,,,,,
"Bustamante y Rocha, Pío ; Bustamante y Septiem, Benigno","Nuevo Curso elemental de Botánica, escrito en el orden que se enseñó este ramo, en el Jardin del Palacio Nacional,",1846,,1,414,414,,Curso; botánica; Jardin; Palacio Nacional,https://catalogo.iib.unam.mx/F/-/?func=find-b&find_code=SYS&local_base=bndm&format=999&request=000629613,,Si,Español,Monografía,Ciencias de la vida,,,,,
"Bustamante y Rocha, Pío","Introducción á la geografía, considerada con relación á la Historia Natural, según Bory de SaintVicent, y redactado en español, con ligeras modificaciones por P. B. R. para uso de la cátedra de Botánica de México.",1847,,1,14,14,,Geografía; HIstoria Natural,,,No,Español,,Ciencias de la vida,,,,8,
"Bustamante y Rocha, Pío",Las Papas.,1849,2,6,9,4,,Papas,https://books.google.com.mx/books?id=ZbIsAAAAYAAJ&printsec=frontcover&dq=Album+mexicano&hl=es-419&sa=X&ved=2ahUKEwiiv6nb9tfsAhUFYKwKHZNpAKcQ6AEwAHoECAMQAg#v=onepage&q=Album%20mexicano&f=false,,Si,Español,Artículo,Ciencias de la vida,,,2,,
"Bustamante y Rocha, Pío","Las familias naturales de las plantas ó resumen de sus principales caracteres, arregladas según Boitard, á la clasificación de Antonio Lorenzo Jussieu.",1851,,1,88,88,,Familias naturales; plantas; caracteres,,,No,Español,Monografía,Ciencias de la vida,,,,8,
"Bustamante y Rocha, Pío","Breve instrucción sobre el cultivo y conservación de los bosques y arbolado; extractado de los agricultores de la mejor nota, para uso del Seminario Nacional de Minería.",1852,2,16,36,20,,Instrucción; cultivo; conservación; bosques; arbolado,,,No,Español,Artículo,Ciencias de la vida,,,2,,
"Bustamante y Rocha, Pío",Discurso sobre el movimiento de las plantas,1853,3,31,34,4,,Discurso; movimiento; plantas,https://babel.hathitrust.org/cgi/pt?id=umn.31951000746074h&view=1up&seq=39,,Si,Español,Artículo,Ciencias de la vida,,,3,,
"Bustamante y Rocha, Pío","Nuevas lecciones de Botánicas, puestas al alcance de toda clase de personas; y con algunas reflexiones morales, deducidas de los admirables fenómenos que se observan en el desarrollo de las plantas",1853,,1,165,165,,Lecciones; botánicas; reflexiones;,https://www.biodiversitylibrary.org/item/208045#page/5/mode/1up,https://doi.org/10.5962/bhl.title.119288,Si,Español,Monografía,Ciencias de la vida,,,,,
"Bustamante y Rocha, Pío","Catálogo de las plantas contenidas en el Herbario perteneciente al Sur de México: que comprende los nombres genéricos, específicos y de familia, con las descripciones de las especies.",1854,4,133,143,11,,Catálogo; plantas; herbario; Sur de México,https://babel.hathitrust.org/cgi/pt?id=umn.31951000746075f&view=1up&seq=149,,Si,Español,Artículo,Ciencias de la vida,,,4,,
"Bustamante y Rocha, Pío",Dictamen sobre la planta llamada vulgarmente Cuitlacoche.,1865,,181,184,4,,Dictamen; planta; Cuitlacoche,,,No,Español,Artículo,Ciencias de la vida,,,,,
"Bustamante y Rocha, Pío",Discurso sobre la importancia de la Historia Natural,1865,,218,222,5,,Discurso; importancia; HIstoria Natural,,,No,Español,Artículo,Ciencias de la vida,,,,,
"Bustamante y Rocha, Pío","Principios generales de Agricultura, puestos al alcance de toda clase de personas.",1872,4,195,207,13,,Principios; Agricultura: personas,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008360607&view=1up&seq=203,,Sí,Español,Artículo,Ciencias de la vida,2a época,,4,,
"Bustamante y Rocha, Pío","Descripción de la nueva especie del género Escobedia, denominada Angustifolia",,,370,370,1,,Descripción; especie; Escobedia; Angustifolia,,,No,Español,Artículo,Ciencias de la vida,,,2,,
Bussy,Comunication faites a la Comission.,,1,341,346,6,,Comunication; comission,,,No,Francés,Articulo,Ciencias de la vida,,,,,
Bustillos y Tricio Francisco,Breve estudio sobre el Cheilanthes elegan,1892,,1,20,20,,Estudio; Cheilanthes elegan,,,No,Español,Monografía,Ciencias de la vida,,,,,
Bustillos Francisco,Contrayerba blanca ó de México. Psoralea Pentaphylla,1892,,,,,,Contrayerba blanca; México; Psoralea Pentaphylla,,,No,Inglés,,Ciencias de la vida,,,,,
C,Coppie de la flevr de la passion qvi crois dans les Indes Occidentales.,1637,,,,,,Coppie; flevr; passion; Indes Occidentales.,,,No,Francés,,Ciencias de la vida,,,,,
C.P.C,Importante á los agricultores,1871,3,255,256,2,,Importante; agricultores,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008360615&view=1up&seq=293,,Sí,Español,Artículo,Ciencias de la vida,2a época,,3,,
"Caballero Fray, Juan",Historia de muchas plantas que crecen en la Provincia de Oaxaca.,,,,,,,Historia; plantas; Oaxaca,,,No,Español,,Ciencias de la vida,,,,,
"Cabrera, Antonio J.",La Huasteca Potosina,1876,,1,133,133,,Huasteca Potosina,https://books.google.com.mx/books?id=op7I6B85JC0C&printsec=copyright&redir_esc=y#v=onepage&q&f=true,,No,Español,Monografía,Ciencias de la vida,,1,,,
"Cabrera, Florencio",Dictamen sobre el Condurango y el Guaco,1872,4,58,61,4,,Dictamen; Condurango; Guaco,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008360607&view=1up&seq=62,,Sí,Español,Artículo,Ciencias de la vida,2a época,,4,,
"Cadet de Gassicour, Charles Louis",Dissertation sur le Jalap,1817,,1,84,84,,Dissertation; Jalap,https://play.google.com/books/reader?id=e5IaAAAAYAAJ&hl=es_419&pg=GBS.PR3,,Sí,Francés,Monografía,Ciencias de la vida,,,,,
"Cagnato, Marsilio","Dos Disertaciones del Palo santo ó Guayaco, en sus Obras varias",1604,,,,,,Disertaciones; Palo; Guayaco,,,No,Latín,,Ciencias de la vida,,,,,
"Calderón, Esteban M.",Breve estudio sobre el cultivo del Maguey,1889,,1,45,45,,Estudio; cultivo; maguey,https://www.worldcat.org/title/breve-estudio-sobre-el-cultivo-del-maguey-trabajo-inaugural-que-para-el-examen-general-de-ingeniero-agronomo-presenta-al-jurado-calificador/oclc/651456948,,No,Español,Monografía,Ciencias de la vida,,,,,
"Calderón, Juan B",Estudio sobre el arbusto llamado Sinicuiche.,1897,2,36,42,7,,Estudio; arbusto; Sinicuiche,https://www.samorini.it/doc1/alt_aut/ad/calderon-estudio-sobre-el-arbusto-llamado-sinicuiche.pdf,,Si,Español,Artículo,Ciencias de la vida,,,2,,
Cal y Bracho Antonio de la,"Memoria sobre el cultivo y torcido de los cáñamos en la Capital del Estado de Puebla, con observaciones sobre la misma, por el Teniente Coronel D. Manuel Fernández Aguado",1832,1,231,264,33,,Memoria; cultivo; cáñamos; Puebla,https://archive.org/details/registrotrimestr12soci/page/230/mode/2up,,Si,Español,Artículo,Ciencias de la vida,,,1,,
Cal y Bracho Antonio de la,"Ensayo para la Materia Médica Mexicana, arreglado por una Comisión nombrada por la Academia Médico-Quirúrgica de esta Capital, quien ha dispuesto se imprima por considerarlo útil.",1832,,1,101,101,,Ensayo; Materia Médica,https://www.biodiversitylibrary.org/item/36337#page/1/mode/1up,https://doi.org/10.5962/bhl.title.8694,Si,Español,Monografía,Ciencias de la vida,,,,,
Cal y Bracho Antonio de la,Botánica. Syngenesia-Polygamia superflua.,1833,2,67,69,3,,Botánica; Syngenesia; Polygamia; superflua,https://archive.org/details/registrotrimestr12soci/page/66/mode/2up,,Si,Español,Artículo,Ciencias de la vida,,,2,,
Cal y Bracho Antonio de la,"Noticias é instrucciones sobre el cultivo del cáñamo y del lino, hasta ponerlo en estado de estopa.",,,,,,,Noticias; instrucciones:cultivo; cáñamo; lino,,,No,Español,Artículo,Ciencias de la vida,,,,,
Cal y Bracho Antonio de la,"Noticia sobre el modo de cultivar y preparar el cáñamo, hasta poderse hilar ó darle otros destinos útiles, con una insinuación de sus propiedades, las de los cañamones y sus usos, dando fin con los ensayos practicados en Puebla, y las observaciones deducidas de ellos.",,,,,,,Noticia; cultivar; preparar; cáñamo,,,No,Español,Monografía,Ciencias de la vida,,,,,
Cal Mariano de la,Plantas del antiguo camino de Puebla a México,1875,1,105,106,2,,Plantas; sociedad; Puebla,https://babel.hathitrust.org/cgi/pt?id=mdp.39015076562217&view=1up&seq=107,,Si,Español,Artículo,Ciencias de la vida,,,1,,
Pyrame de Candolle Agustin,Plantarum historia succulentarum. Histoire des Plantes grasses. Avec leurs figures en couleurs desinées par Redouté,1778,1,1,120,120,,Plantarum historia; Histoire; Plantes grasses; figures,https://gallica.bnf.fr/ark:/12148/bpt6k1523717j/f9.item,,Si,Latín,Monografía,Ciencias de la vida,2 volumenes en total,,,,
"Pyrame de Candolle Agustin; Lamarck, Jean Baptiste Pierre de Monet de","Flore française, ou descriptions succinctes de toutes les plantes qui croissent naturellement en France, Disposées selon une nouvelle Méthode d'Analyse, et précédées par un Exposé des Principes élémentaires de la Botanique",1805,1,1,224,224,,Flora française; descriptions; plantes; France; principes élémentaires; botanique,https://bibdigital.rjb.csic.es/idurl/1/9876,,Si,Latín,Monografía,Ciencias de la vida,5 tomos en total,3,1,,
"Pyrame de Candolle Agustin; Lamarck, Jean Baptiste Pierre de Monet de",Synopsis plantarum in Flora gallica descriptarum.,1806,,1,432,432,,Synopsis plantarum; Flora gallica; descriptarum,https://www.biodiversitylibrary.org/item/29347#page/6/mode/1up,https://doi.org/10.5962/bhl.title.6624,Si,Latín,Monografía,Ciencias de la vida,,,,,
Pyrame de Candolle Agustin; Pyrame de Candolle Alphonse Louis Pierre,"Prodromus systematis naturalis regni vegetabilis, sive, Enumeratio contracta ordinum generum specierumque plantarum huc usque cognitarium, juxta methodi naturalis, normas digesta",1824,1,1,745,745,,Systematis naturalis; specierumque; plantarum; cognitarum; methodi naturalis; normas,https://www.biodiversitylibrary.org/item/7150#page/4/mode/1up,https://doi.org/10.5962/bhl.title.286,Si,Latín,Monografía,Ciencias de la vida,17 volumenes en total (1824-1873),,,,
"Pyrame de Candolle Agustin; Duby, Jean Étienne","Botanicon gallicum, seu Synopsis plantarum in Flora gallica descriptarum.",1828,1,1,544,544,,Botanicon; plantarum; Flora gallica; descriptarum,https://www.biodiversitylibrary.org/item/29498#page/9/mode/1up,https://doi.org/10.5962/bhl.title.6352,Si,Francés,Monografía,Ciencias de la vida,2 partes en total,2,,,
Pyrame de Candolle Agustin,"Revue de la familie des Cactées, avec des observations sur leur végétation et leur culture ainsi que sur celles des autres plantes grasses.",1829,,1,119,119,,Revue; Cactées; végétation; culture,https://gallica.bnf.fr/ark:/12148/bpt6k98367v/f2.item,,Sí,Francés,Monografía,Ciencias de la vida,,,,,
Pyrame de Candolle Agustin,"Mémoires et souvenirs, écrits par lui-même et publiés par son fils.",1862,,1,599,599,,Mémoires; souvenirs,https://gallica.bnf.fr/ark:/12148/bpt6k5604254x/f4.item.texteImage,,Si,Francés,Monografía,Ciencias de la vida,,,,,
Pyrame de Candolle Agustin,Collection de memoires pour servir a l'histoire du regne vegetal: et plus specialment pour servir de complementar a quelques Parties du prodromus regni vegetabilis memoires un a dix,1828-1838,,1,22,22,,Collection; mémoires; histoire ; regne vegetal,https://www.biodiversitylibrary.org/item/196321#page/8/mode/1up,https://doi.org/10.5962/bhl.title.112394,Si,Francés,Monografía,Ciencias de la vida,,,,,
Pyrame de Candolle Anne Casimir; Pyrame de Candolle Alphonse Louis Pierre,Meliacées.,1878,1,399,418,19,,Meliacées,https://www.biodiversitylibrary.org/item/99450#page/405/mode/1up,,Si,Francés,Artículo,Ciencias de la vida,,,,,
Pyrame de Candolle Alphonse Louis Pierre,Origine des plantes cultivées.,1883,,1,377,377,,Origine; plantes cultivées,https://bibdigital.rjb.csic.es/viewer/14739/?offset=#page=1&viewer=picture&o=bookmark&n=0&q=,,Si,Francés,Monografía,Ciencias de la vida,,,,,
Pyrame de Candolle Alphonse Louis Pierre,"Géographie botanique raisonnée ou, Exposition des faits principaux et des lois concernant la distribution géographique des plantes de l'époque actuelle.",1855,2,608,1365,1365,,Géographie botanique; Exposition; distribution géographique; plantes; actuelle,https://www.biodiversitylibrary.org/item/73564#page/9/mode/1up,https://doi.org/10.5962/bhl.title.30020,Si,Francés,Monografía,Ciencias de la vida,2 volumenes en total,,,,
"Pyrame de Candolle Alphonse Louis Pierre; Mociño Losada, Jose Mariano; Sesse?, Marti?n",Calques des dessins de la Flore du Mexique de Mociño et Sessé qui ont servi de types d' Espe?ces dans le systema ou le prodromus.,1874,1,1,6,6,,Calques; dessins; Flore; Mexique; Espe?ces; systema ; prodromus,https://www.biodiversitylibrary.org/item/175033#page/7/mode/1up,https://doi.org/10.5962/bhl.title.96829,Si,Francés,Monografía,Ciencias de la vida,2 volumenes en total,,,,
Pyrame de Candolle Alphonse Louis Pierre,Smilacées,1878,1,1,38,38,,Smilacées,https://www.biodiversitylibrary.org/item/99450#page/7/mode/1up,https://doi.org/10.5962/bhl.title.45961,Sí,Francés,Artículo,Ciencias de la vida,,,,,
"Canseco, Juan Pablo",Carta a Alzate sobre el uso medicinal de la Cebadilla.,1831,3,89,96,7,,Carta: uso; Cebadilla,https://babel.hathitrust.org/cgi/pt?id=ucm.5324329663&view=1up&seq=95&q1=cebadilla,,Sí,Español,Artículo,Ciencias de la vida,,,3,,
"Cappellini, Giovanni","Ricordi di un viaggio scientifico nell'America Settentrionale, nell America Settentrionale",1867,,1,283,283,,Ricordi; viaggio scientifico ; America Settentrionale,https://ia800301.us.archive.org/19/items/ricordidiunviag00capegoog/ricordidiunviag00capegoog.pdf,,Sí,Italiano,Monografía,Ciencias de la vida,,,,,
"Cárdenas, Juan de; Ocharte Pedro",Primera parte de los Problemas y Secretos Maravillosos de las Indias. Compuesta por el Dr. Juan de Cárdenas,1591,,1,246,246,,Problemas; secretos; Indias,http://bdh.bne.es/bnesearch/detalle/2166930,,Sí,Español,Monografía,Ciencias de la vida,,,,,
"Carmona y Valle, Manuel",Paraplegia curada con la Morfina por el método endérmico,1867,3,73,78,6,,Paraplegia; Morfina; método endérmico,https://babel.hathitrust.org/cgi/pt?id=mdp.39015046999440&view=1up&seq=89,,Si,Español,Artículo,Ciencias de la vida,,,3,,
"Carmona y Valle, Manuel",Sobre el hongo de las Orinas de los enfermos de Vómito.,1881,16,389,389,1,,Hongo; orinas; enfermos,https://catalog.hathitrust.org/Record/000635467,,No,Español,Artículo,Ciencias de la vida,,,16,,
"Carpenter, William Benjamin","Travels and Adventures in Mexico in the course of Journeys of repwerd of 2500 miles, performed on foot. Giving an account of the Manners and Customes of the People, and the Agricultural and Mineral resources of that country.",1851,,1,300,300,,Travels; adventures; Mexico; 2500 miles; people; agricultural; mineral ; resources; country,https://books.google.ad/books?id=tggVAAAAYAAJ,,No,Inglés,Monografía,Ciencias de la vida,,,,,
"Capetillo y Martínez, José Ignacio",Estudio histórico acerca del tratamiento de la lues-venérea en México y cuestiones relativas á su curabilidad.,1871,,1,78,78,,Estudio; tratamiento; lues-venérea; México; curabilidad,https://catalogo.iib.unam.mx/F/-/?func=find-b&find_code=SYS&local_base=bndm&format=999&request=000532442,,Si,Español,Monografía,Ciencias de la vida,,,,,
"Carpió Hernández, Manuel Eulogio",Uso del centeno de Cuernecillo para facilitar el parto y la salida de las secundinas.,1836,1,39,47,9,,"Centeno, Cuernecillo; parto; salida; secundinas",https://archive.org/details/peridicodelaacad1183acad/page/38/mode/2up,,Sí,Español,Artículo,Ciencias de la vida,1a serie,,1,,
"Carpió Hernández, Manuel Eulogio",Usos del centeno de Cuernecillo en varios flujos de sangre.,1836,1,76,79,4,,Centeno; Cuernecillo; flujos; sangre,https://archive.org/details/peridicodelaacad1183acad/page/76/mode/2up,,Si,Español,Artículo,Ciencias de la vida,1a serie,,1,,
"Carpió Hernández, Manuel Eulogio",Uso de la Cainca en la hydropesía.,1836,1,177,178,2,,Cainca; hidropesía,https://archive.org/details/peridicodelaacad1183acad/page/176/mode/2up,,Si,Español,Artículo,Ciencias de la vida,1a serie,,1,,
"Carpió Hernández, Manuel Eulogio",Del Tanino en las hemorragias.,1837,2,65,66,2,,Tanino; hemorragias,https://archive.org/details/s1id13415310/page/64/mode/2up,,Si,Español,Artículo,Ciencias de la vida,1a serie,,,,
"Carpió Hernández, Manuel Eulogio",Añil en la epilepsia.,1838,3,75,75,1,,Añil; epilepsia,https://archive.org/details/s1id13415320/page/74/mode/2up,,Si,Español,Artículo,Ciencias de la vida,1a serie,,,,
"Carpió, Luis Hidalgo",Pústula maligna curada por la aplicación de las hojas frescas de Nogal.,1866,2,282,285,4,,Pústula; hojas; Nogal,https://babel.hathitrust.org/cgi/pt?id=mdp.39015046999432&view=1up&seq=298,,Si,Español,Artículo,Ciencias de la vida,,,2,,
"Carpió, Luis Hidalgo",Envenamiento de nueve personas por el bulbo de la Cebadilla,1872,1,,,,,Envenamiento; personas; bulbo; Cebadilla,,,No,Español,Artículo,Ciencias de la vida,,,1,,
"Carvajal, José María",Breves consideraciones sobre el método hipodérmico,1885,,1,56,56,,Consideraciones; método hipodérmico,,,No,Español,Monografía,Ciencias de la vida,,,,,
"Carrasco García, Felix",Reseña histórico-científica sobre el Eséré ó sea la Haba del Calabar.,1869,,1,45,45,,Reseña; Eséré; Haba del Calabar,https://www.biodiversitylibrary.org/item/186433#page/5/mode/1up,https://doi.org/10.5962/bhl.title.105363,Si,Español,Monografía,Ciencias de la vida,,,,,
"Carrillo, Pedro Antonio",Breve estudio sobre la Rosilla de Puebla.,1887,,1,22,22,,Estudio; Rosilla; Puebla,https://collections.nlm.nih.gov/ext/dw/101636794/PDF/101636794.pdf,,Si,Español,Monografía,Ciencias de la vida,,,,,
"Caruel, Theodoro","Prodromo della flora toscana, ossia, Catalogo metodico delle piante che nascono salvatiche in Toscana e nelle sue isole, o che vi sono estesamente coltivate, con la indicazione dei luoghi nei quali si trovano, del tempo della loro fioritura e fruttificazione, dei loro nomi volgari ed usi",1860,,2,767,767,,Prodromo; flora toscana; coltivate; nomi volgari,https://www.biodiversitylibrary.org/item/40230#page/7/mode/1up,https://doi.org/10.5962/bhl.title.9990,Si,Italiano,Fuente secundaria de información,Ciencias de la vida,,,,,
"Casas, Carlos",Raiz de Japala,1869,1,6,8,3,,Raíz; Jalapa,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008360623&view=1up&seq=18,,Sí,Español,Artículo,Ciencias de la vida,2a época,,1,,
"Casas, Gonzalo de las",Libro intitulado arte para criar seda desde que rebieve una semilla hasta sacar otra.,1581,,1,223,223,,Libro; criar; semilla,http://simurg.bibliotecas.csic.es/viewer/image/CSIC000871895/6/#topDocAnchor,,Sí,Español,Monografía,Ciencias de la vida,,,,,
"Castelli, Prieto; Aldini, Tobia","Exactissima descriptio rariorum quarundam plantarum, que continenteur Roma en Horto Farnesiano",1625,,1,100,100,,Exactissima descriptio; plantarum; Farnesiano,https://www.biodiversitylibrary.org/item/111765#page/5/mode/1up,https://doi.org/10.5962/bhl.title.52209,Sí,Latín,Monografía,Ciencias de la vida,,,,,
"Castelli, Prieto",Hortus messaniensis,1640,,,,,,Hortus messaniensis,,,No,Latín,,Ciencias de la vida,,,,,
"Castillo, Juan Diego",Plantas descritas en el viaje de acapulco,,,,,,,Plantas; viaje; Acapulco,,,No,Español,Monografía,Ciencias de la vida,,,,,
C,Cátalogo delle Cactee coltiv da A Giocomelli in Treviso,1842,,1,25,25,,Cátalogo; Cactee,,,No,Italiano,Monografía,Ciencias de la vida,,,,,
"Cazzuola, Ferdinando",Dizionario de Botánica,1876,,1,718,718,,Dizionario; botánica,https://reader.digitale-sammlungen.de/de/fs1/object/display/bsb11337514_00005.html,,Sí,Italiano,Fuente secundaria de información,Ciencias de la vida,,,,,
"Cazzuola, Ferdinando","Le piante utili e nocive agli uomini e agli animali che crescono spontanee e coltivate in Italia con brevi cenni sopra la coltura, sopra i prodotti e sugli usi che se ne fanno ad uso di tutte le scuole del Regno d'Italia",1880,,1,217,217,,Piante utili; nocive; uomini ; animali; coltivate; Italia,https://books.google.com.mx/books/about/Le_piante_utili_e_nocive_agli_uomini_e_a.html?id=b9l0zQEACAAJ&redir_esc=y,,No,Italiano,Monografía,Ciencias de la vida,,,,,
"Cazzuola, Ferdinando",Il coltivatore di piante ornamentali tanto da serra quanto de aria aperta,1889,,1,462,462,,Coltivatore; piante; ornamentali,https://www.worldcat.org/title/coltivatore-di-piante-ornamentali-tanto-da-serra-quanto-de-aria-aperta/oclc/63604587,,No,Italiano,Monografía,Ciencias de la vida,,2,,,
"Cervantes, José María",Pepsina Vegetal,1880,5,253,253,1,,Pepsina Vegetal,,,No,Español,Artículo,Ciencias de la vida,,,5,,
"Cervantes Mendo, Vicente","Ejercicios públicos de botánica que tendría en esta Rl. y Pontificia Universidad el br. Josef Vicente de la Peña, Francisco Giles y Arellano y Dn. Jose Timoteo Arsinas dirigiéndolos Dn. Vicente Cervantes el jueves 11 de diciembre a las tres de la tarde. Programa de los ejercicios",1788,,,,,,Ejercicios públicos; botánica,https://books.google.com.mx/books/about/Ejercicios_p%C3%BAblicos_de_bot%C3%A1nica_que_te.html?id=_mmozQEACAAJ&redir_esc=y,,No,Español,Monografía,Ciencias de la vida,,,,,
"Cervantes Mendo, Vicente","Oración pronunciada el 2 de mayo de 1788, en la sala del nuevo Real Estudio de Botanica de México",1789,,,,,,Oración; Real Estudio de Botánica; México,,,No,Español,,Ciencias de la vida,,,,,
"Cervantes Mendo, Vicente","Exercicios públicos de Botánica, que tendrán en la Real y Pontificia Universidad de México Don Joseph Moziño Médico aprobado, Don Justo Pastor Torres Practicante de Farmacia, y Don Joseph Maldonado Practicante de Cirugía",1789,,1,6,6,,Exercicios públicos; botánica; Universidad de México,https://bibdigital.rjb.csic.es/records/item/16240-ejercicios-publicos-de-botanica,,Si,Español,Monografía,Ciencias de la vida,,,,,
"Cervantes Mendo, Vicente","Extracto de un discurso leido en la Sala del Real Estudio Botánico de México por el catedrático D. Vicente Cervantes, el dia 4 de mayo de 1789, sobre la utilidad del método en el estudio de las plantas",1790,XIX,502,510,9,,Extracto; discurso,https://books.google.com.mx/books?id=gWvtWZM2-nMC&pg=PA502&lpg=PA502&dq=Extracto+de+un+discurso+leido+el+4+de+mayo+de+1789&source=bl&ots=p06Mso5f9u&sig=ACfU3U3sOmrG_HxGAJenD_06Y2A2mhgSHA&hl=es-419&sa=X&ved=2ahUKEwjqiauah-fsAhVCEawKHT_jCsIQ6AEwBnoECAEQAg#v=onepage&q=Extracto%20de%20un%20discurso%20leido%20el%204%20de%20mayo%20de%201789&f=false,,Si,Español,Artículo,Ciencias de la vida,,,19,,
"Cervantes Mendo, Vicente","Ejercicios públicos, el Br Pedro Muñoz, Sebastián Gómez Morón, Br Manuel María Bernal y Br Francisco Peralta",1790,,1,8,8,,Ejercicios públicos,,,No,Español,,Ciencias de la vida,,,,4,
"Cervantes Mendo, Vicente",Ejercicios públicos,1793,,1,10,10,,Ejercicios públicos,,,No,Español,,Ciencias de la vida,,,,4,
"Cervantes Mendo, Vicente",Discurso de Dr. Vicente Cervantes. Trata del árbol de Hule y su clasificación,1794,7,18,33,15,,Árbol; hule; clasificación,https://www.biodiversitylibrary.org/item/121643#page/440/mode/1up,,Sí,Español,Artículo,Ciencias de la vida,1a serie,,,,
"Cervantes Mendo, Vicente","Ejercicios públicos de Botánica, que tendrán en la Real y Pontificia Universidad de México los Bachilleres en Medicina y Filosofia Don Joseph Fernandez Varela, Don Joseph Dionisio Larreategui, y Don Ignacio Leon y Perez Indio Cacique Aprobado en farmacia, presidiendolos Don Vicente Cervantes catedratico de Botánica de dicha Real Universidad, Alcalde Exâminador de Farmacia en el Real Tribunal del Proto-Medicato",1794,,1,10,10,,Ejercicios; botánica; Universidad de México,http://bibdigital.rjb.csic.es/ing/Libro.php?Libro=4207,,Sí,Español,Monografía,Ciencias de la vida,,,,,
"Cervantes Mendo, Vicente","De la violeta estrellada y de sus virtudes, discurso leido en México el día 3 junio 1798",1803,6,185,199,15,,Violeta estrellada; virtudes; México,https://books.google.com.mx/books?id=pWCHbEbhMR8C&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Si,Español,Artículo,Ciencias de la vida,,,6,16,
"Cervantes Mendo, Vicente",Mina lobata,1824,,3,4,2,,Mina lobata,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=15,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Pancratium trichromum,1824,,20,20,1,,Pancratium trichromum,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=32,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Perdicium cordatum,1824,,27,27,1,,Perdicium cordatum,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=39,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Cacalia sinuata,1824,,29,29,1,,Cacalia sinuata,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=41,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Anthemis lutescens,1824,,30,30,1,,Anthemis lutescens,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=42,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Anthemis sinuata,1824,,30,30,1,,Anthemis sinuata,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=42,,Si,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Tagetes subulata,1824,,31,31,1,,Tagetes subulata,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=43,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Coreopsis tetragona,1824,,31,31,1,,Coreopsis tetragona,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=43,,Si,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Nocca latifolia,1824,,31,32,2,,Nocca latifolia,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=43,,Si,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Calibrachoa procumbens,1824,,3,3,1,,Calibrachoa procumbens,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=53,,Sí,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
"Cervantes Mendo, Vicente",Leonia salvifolia,1824,,6,6,1,,Leonia salvifolia,https://babel.hathitrust.org/cgi/pt?id=hvd.32044106347115&view=1up&seq=56,,Si,Latín,Artículo,Ciencias de la vida,Fascículo 1 y 2,,,,
