Autor,Titulo,Año de publicación,Volumen,Pagina-inicio,Pagina-fin,No páginas,No referencias,Referentes,URL,DOI,PDF,Idioma,Tipo de documento,Área temática/campo,Notas,Edición,Tomo,Número,ISBN
"Altamirano, Fernando",Del colorín,1877,12,77,91,14,,Colorín,https://babel.hathitrust.org/cgi/pt?id=mdp.39015046999515&view=1up&seq=85,,Si,Español,Articulo,Ciencias de la vida,,,12,5,
"Altamirano, Fernando",Tabaquillo,1878,13,21,22,2,,Tabaquillo,https://babel.hathitrust.org/cgi/pt?id=uc1.$b214456&view=1up&seq=27,,Si,Español,Articulo,Ciencias de la vida,,,13,,
"Altamirano, Fernando",Leguminosas indigenas medicinales. Contribución al estudio de la farmacología nacional,1878,,1,55,55,,Leguminosas indígenas; farmacología nacional,https://collections.nlm.nih.gov/ext/dw/101637046/PDF/101637046.pdf,,Si,Español,Monografia,Ciencias de la vida,,,,,
"Altamirano, Fernando",Apuntes para el estudio de los medicamentos irritantes indígenas,1880,,505,510,6,,Estudio; medicamentos indígenas; irritantes,,,No,Español,Apuntes,Ciencias de la vida,,,15,,
"Altamirano, Fernando",Algunas observaciones sobre dos plantas medicinales indigenas Cascalote y Lentejilla,1882,,49,57,9,,Observaciones; plantas medicinales; Cascalote; Lentejilla,https://drfernandoaltamirano.blogspot.com/2016/01/algunas-observaciones-sobre-dos-plantas.html,,Sí,Español,Apuntes,Ciencias de la vida,,,17,4,
"Altamirano, Fernando",Clasificación botanica y aplicaciones útiles de las plantas remitidas por el ministro de fomento,1882,,230,236,7,,Clasificación Botanica; plantas; ministro de fomento,,,No,Español,Articulo,Ciencias de la vida,,,19,,
"Altamirano, Fernando",Apuntes para el estudio de la cocaina,1885,,107,151,44,,Apuntes; estudio; cocaina,https://drfernandoaltamirano.blogspot.com/2016/01/apuntes-para-el-estudio-de-la-cocaina-7.html,,Sí,Español,Apuntes,Ciencias de la vida,Dividida en 2 partes,,20,6 y 8,
"Altamirano, Fernando",La uretana,1886,,25,29,5,,Uretana,https://drfernandoaltamirano.blogspot.com/2015/10/la-uretana-articulo-escrito-en-octubre.html,,Sí,Español,Articulo,Ciencias de la vida,,,22,,
"Altamirano, Fernando",Texcalama,1887,,118,122,5,,Texcalama,https://drfernandoaltamirano.blogspot.com/2015/12/texcalama-22-de-diciembre-de-1886.html,,Sí,Español,Articulo,Ciencias de la vida,,,22,7,
"Altamirano, Fernando",Nuevos apuntes para el estudio del colorin,1888,,370,392,22,,Apuntes; estudio; colorín,https://drfernandoaltamirano.blogspot.com/2015/12/diciembre-de-1877-nuevos-apuntes-para.html,,Sí,Español,Apuntes,Ciencias de la vida,,,23,18,
"Altamirano, Fernando","Axocopaque o Axocopaconi de Hernández. Ericáceas, Gautheria ovata. D.C",1889,,14,16,3,,Axocopaque ; Axocopaconi,https://drfernandoaltamirano.blogspot.com/2019/08/10-de-junio-de-1889-axocopaque-o.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:+DrFernandoAltamirano+(Dr.+Fernando+Altamirano)&m=1,,Sí,Español,Articulo,Ciencias de la vida,Primera parte del artículo,,1,1,
"Altamirano, Fernando",Segundo articulo sobre el Axocopaque o Axocopaconi de Hernández,1889,,29,32,4,,Axocopaque ; Axocopaconi,https://drfernandoaltamirano.blogspot.com/2019/08/17-de-junio-de-1889-segunda-parte-del.html,,Sí,Español,Articulo,Ciencias de la vida,Segunda parte del articulo,,1,2,
"Altamirano, Fernando",El Chahuax,1889,,44,46,3,,Chahuax,https://drfernandoaltamirano.blogspot.com/2019/08/24-de-junio-de-1889-el-chahuax.html,,Sí,Español,Articulo,Ciencias de la vida,,,1,3,
"Altamirano, Fernando",La yerba del chicle [Asclepias lanuginosa],1890,,177,179,3,,Yerba del chicle,https://drfernandoaltamirano.blogspot.com/2019/08/13-de-marzo-de-1890-la-yerba-del-chicle.html,,Sí,Español,Articulo,Ciencias de la vida,,,2,12,
"Altamarino, Fernando",Breve informe acerca de los trabajos hechos en el Instituto Médico Nacional para el diseño de la planta llamada Matarique . Ccacalia Decomposita,1890,,81,86,6,,Informe; planta Matarique,https://drfernandoaltamirano.blogspot.com/2016/08/breve-informe-acerca-de-los-trabajos.html,,Sí,Español,Informe,Ciencias de la vida,,,3,6,
"Altamirano, Fernando",Reseña de una expedición científica al Estado de Michoacán,1890,,62,65,4,,Reseña; expedición científica; Michoacan,https://drfernandoaltamirano.blogspot.com/2015/12/resena-de-una-expedicion-cientifica-al.html,,Sí,Español,Reseña,Ciencias de la vida,,,4,2,
"Altamirano, Fernando",Apuntes para el estudio de la acción fisiologica y terapéutica de la Lobelia Laxifolia H. B. K.: var angustifolia,1891,,12,15,4,,Apuntes; acción fisiologica; acción terapeutica,https://drfernandoaltamirano.blogspot.com/2019/09/abril-1891-apuntes-para-el-estudio-de.html,,Sí,Español,Apuntes,Ciencias de la vida,,,4,1,
"Altamirano, Fernando",Datos para el estudio de la producción del Chicle,1892,,251,254,4,,Datos; Producción del chicle,https://drfernandoaltamirano.blogspot.com/2019/09/7-de-enero-de-1892-datos-para-el.html,,Sí,Español,Articulo,Ciencias de la vida,,,4,8,
"Altamirano, Fernando",Lista de las plantas recogidas en la expedición a las Mixtecas de Oaxaca en el mes de enero de 1893,1893,,452,452,1,,Lista de plantas ; expedición; Oaxaca,,,No,Español,Articulo,Ciencias de la vida,,,4,,
"Altamirano, Fernando",Algunos datos farmacológicos acerca de catorce plantas mexicanas,1893,3,215,215,1,,Datos farmacológicos; plantas mexicanas,,,No,Español,Articulo,Ciencias de la vida,Año 3,,,,
"Altamirano, Fernando",Proyecto para formar una Farmacopea Panamericana presentado al Congreso Panamericano,1893,3,237,237,1,,Proyecto; Farmacopea; congreso Panamericano,,,No,Español,Articulo,Ciencias de la vida,Año 3,,,,
"Altamirano, Fernando",Datos para las aplicaciones medicas del Indigo,1894,,74,76,3,,Datos; aplicaciones medicas; Indigo,https://drfernandoaltamirano.blogspot.com/2016/02/datos-para-las-aplicaciones-medicas-del.html,,Sí,Español,Articulo,Ciencias de la vida,,,1,2,
"Altamirano, Fernando",El Pañete: plumbago pulchella- plumbagíneas,1894,,79,94,15,,Datos; Pañete; materia medica mexicana,https://www.biodiversitylibrary.org/item/256613#page/87/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,1a parte,,,,
"Altamirano, Fernando",El Matarique: cacalia decomposita- compuestas,1894,,193,200,7,,Informe; Matarique,https://www.biodiversitylibrary.org/item/256613#page/215/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,1a parte,,,,
"Altamirano, Fernando",La Atanasia amarga: bickelia cavanillesii- compuestas,1894,,269,280,11,,Atanasia amarga,https://www.biodiversitylibrary.org/item/256613#page/303/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,1a parte,,,,
"Altamarino, Fernando","El simonillo: conyza filaginoides, D.C",1894,,295,312,17,,Simonillo,https://www.biodiversitylibrary.org/item/256613#page/335/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,1a parte,,,,
"Altamirano, Fernando",El añil: indigofera anil- leguinosas,1894,,313,340,27,,Añil,https://www.biodiversitylibrary.org/item/256613#page/355/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,1a parte,,,,
"Altamirano, Fernando",Lista de los nombres vulgares y botánicos de arboles y arbustos propios para repoblar los bosques de la República acompañados de la indicación de los climas en que vegetan y de la manera de propagarlos,1894,,1,17,17,,Lista; nombres; árboles; arbustos; República,https://archive.org/details/listadenombresv00alta/page/n3/mode/2up,,Sí,Español,Monografia,Ciencias de la vida,,,,,
"Altamirano, Fernando",Descripción de todas las drogas,1895,,,,,,Descripción; drogas,,,No,Español,Articulo,Ciencias de la vida,,4,,,
"Altamirano, Fernando","Ligeros apuntes de la flora del camino entre México, Tulancingo y Huauchinango",1890-1891,,123,130,8,,Apuntes; flora ; México; Tulancingo; Huauchinango,https://drfernandoaltamirano.blogspot.com/2016/04/ligeros-apuntes-de-la-flora-del-camino.html,,Sí,Español,Apuntes,Ciencias de la vida,,,4,,
