Autor normalizado,Nombre firma,Abreviatura,Nombre completo,Rol principal,Rol adquirido,Género,Comunidad,Subcomunidad,Año de nacimiento,Año de muerte,Lugar de nacimiento,Lugar de muerte,Formación,Fuente de institución,Profesión,Grado,Adscripción,Cargo,Afiliación,Reconocido,Movilidad,Linaje científico,Linaje descendiente,Epónimo recibido,Otorgado por,Epónimo asignado,Otorgado a,Aportación / Descubrimiento,Notas,Trabajo
François André Michaux: https://www.wikidata.org/wiki/Q2986883,,,Edouard Francois André,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Description des quatre parties du Monde: Europe, Asie, Afrique, Amerique"
Anónimo,Anónimo,,,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"El puntero apuntado con apuntales breves. Para que no sea corto en la fábrica de la tinta añil o tinta annal, Historie naturalle du cacao el du sucre divisée en deux traitez contiennent plusieurs faits nounveaux, et beaucoup dóbservation egalemnet curieu u utiles, Versuch einer poetischen Beschreibung zweier amerikanischen aloen, Modo facil de beneficiar las malvas y sacar de llas generosas semejantes al cáñamo y no solo para hacer de ellas cuerdas y cable sino tambien ropa para beneficio de las gentes especialmente de los pobres, Tortillas de maguey, Quina naranjada, De las hojas de los vegetales, Del Ceroxilo o palmero de cera, Una planta mostruosa, Jardines antiguos de México, El papayo, La hortensia, el jazmin, la dahalia y la peonia, La flor de las manitas, Ciencias agriciolas (agricultura), Investigaciones sobre las plantas de cultivo en México, Las flores animadas, Fenómenos de la vegetación, Jardin botánico, Nociones elementales de la botánica, Floricultura, Manzanilla, Breves instrucciones para colectar plantas, Philadelphia International Exhibition, 1876, Mexican Section: Special Catalogue and Explanatory Notes, Noticias sobre las propiedades febrífugas y antipalúdicas del pambotano (Calliandria Hustoni), Catálogo de frutas que produce el Estado de Jalisco, Estudio fisico-quimico de la grasa del yoyote, Acción del chilillo, Apuntes sobre algunas plantas medicinales de Zacatecas"
Antoine Franz,Antoine F.,Antoine,Franz Antoine,jardinero: https://www.wikidata.org/wiki/Q758780,"Fotógrafo , botánico: https://www.wikidata.org/wiki/Q2374149 , horticultor: https://www.wikidata.org/wiki/Q3140857",,botánica: https://www.wikidata.org/wiki/Q441,Bromeliaceae: https://www.wikidata.org/wiki/Q156529,1815,1886,Vienne (Autriche): https://viaf.org/viaf/45145424500086831364,Vienne (Autriche): https://viaf.org/viaf/45145424500086831364,,,fotógrafo: https://www.wikidata.org/wiki/Q33231,,Palacio de Schönbrunn: https://www.wikidata.org/wiki/Q131330,"Director del jardín del Palacio de Schönbrunn , Director de jardinería de todos los jardines imperiales de la monarquía Astro - Húngara",,,Europa: https://www.wikidata.org/wiki/Q218640,,,,,,,,Trabajo con la clasificación científica de los vegetales,Atlas zur Phyto iconographie der bromeliaccen des k.k. Hofburg- Gartens
Esteban de Antuñano: https://www.wikidata.org/wiki/Q5849195,,,Esteban de Antuñano: https://www.wikidata.org/wiki/Q5849195,empresario: https://www.wikidata.org/wiki/Q43845,"botánico: https://www.wikidata.org/wiki/Q2374149 , Economísta",,botánica: https://www.wikidata.org/wiki/Q441,manufacturing industry: https://www.wikidata.org/wiki/Q10861389,1792,1847,Veracruz: https://viaf.org/viaf/125435784,Puebla (Mexico : State): https://viaf.org/viaf/150092855,,,economista: https://www.wikidata.org/wiki/Q188094,,,,,,"México: https://www.wikidata.org/wiki/Q96 , Inglaterra: https://www.wikidata.org/wiki/Q21",,,,,,,Fundador de la Industria Mexicana,,"Documentos para la historia de las indutria algodonera de México, en lo fabril y en lo agrícola ó sea narración y calculos estadisticos sobre ella"
Antoine Laurent Apollinaire Fée: https://www.wikidata.org/wiki/Q2627241,Fée,,Antoine Laurent Apollinaire Fée: https://www.wikidata.org/wiki/Q2627241,farmacéutico: https://www.wikidata.org/wiki/Q105186,"botánico: https://www.wikidata.org/wiki/Q2374149 , micólogo: https://www.wikidata.org/wiki/Q2487799 , pteridólogo: https://www.wikidata.org/wiki/Q16334509",,botánica: https://www.wikidata.org/wiki/Q441,,1789,1874,"Ardentes, Francia",France: https://viaf.org/viaf/170385099,,,farmacéutico: https://www.wikidata.org/wiki/Q105186,,"Société Botanique de France: https://www.wikidata.org/wiki/Q1506427 , Académie Nationale de Médecine: https://www.wikidata.org/wiki/Q337555 , Academia de Ciencias de Turín: https://www.wikidata.org/wiki/Q2822396 ,",,,,Francia: https://www.wikidata.org/wiki/Q142,,,,,,,,,"Iconographie des espèces nouvelles décrites ou énumérées clans le Genera Filicum, Catalogue méthodique des Fougères et des Lycopocliacées du Mexique."
Aranda Diaz Pedro,,,Pedro Aranda Diaz,,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Contribución al estudio de la esparteina
Giovanni Arcangeli: https://www.wikidata.org/wiki/Q1372712,,Arcang.,Giovanni Arcangeli: https://www.wikidata.org/wiki/Q1372712,botánico: https://www.wikidata.org/wiki/Q2374149,Profesor,,botánica: https://www.wikidata.org/wiki/Q441,,1840,1921,Florence (Italy): https://viaf.org/viaf/149719242,Pisa: https://viaf.org/viaf/204007255,Universidad de Pisa: https://www.wikidata.org/wiki/Q645663,S,profesor: https://www.wikidata.org/wiki/Q37226,,Universidad de Pisa: https://www.wikidata.org/wiki/Q645663,"catedrático: https://www.wikidata.org/wiki/Q121594 , Director del Jardín Botánico de Pisa",Academia de Ciencias de Turín: https://www.wikidata.org/wiki/Q2822396,,Europa: https://www.wikidata.org/wiki/Q218640,Ugolino Martelli: https://www.wikidata.org/wiki/Q4002954,,Menispermaceae Arcangelisia,Odeardo Beccari,,,,,Compendio de la flora italiana
Ricardo Arevalo: https://www.wikidata.org/wiki/Q90493062,,,Ricardo Arevalo: https://www.wikidata.org/wiki/Q90493062,,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Estudio sobre la corteza de Copalchi
Armendariz Eduardo,,,,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,expedición: https://www.wikidata.org/wiki/Q2401485,,,,,,,,,,,,,México: https://www.wikidata.org/wiki/Q96,Fernando Altamirano: https://www.wikidata.org/wiki/Q5444587,,,,,,Participó en las expediciones de Fernando Altamirano,,"Un nuevo reactivo para la investigación de los álcalis, Una nueva aplicación de la fotografía, Apuntes acerca de una contrahierba de México, Estudio quimico del Zoapatli, Estudio de los ejemplares remitidos con el nombre de cera vegetal, Dosificación aproximada de la Clorofila, Analisis de las semillas del Yoloxochitl, Análisis de la bocconia"
José Joaquín Arriaga: https://www.wikidata.org/wiki/Q124415450,,,José Joaquín Arriaga: https://www.wikidata.org/wiki/Q124415450,divulgador científico: https://www.wikidata.org/wiki/Q15143191,Profesor,,botánica: https://www.wikidata.org/wiki/Q441,Sociedad Mexicana de Historia Natural: https://www.wikidata.org/wiki/Q6130937,1831,1896,Puebla (Mexico : State): https://viaf.org/viaf/150092855,Mexico City (Mexico): https://viaf.org/viaf/316429178,"Escuela Lancasteriana La Divina Providencia , Real e Imperial Colegio , Colegio de Minería: https://www.wikidata.org/wiki/Q21281030",,profesor: https://www.wikidata.org/wiki/Q37226,ingeniero,"Universidad Autónoma Chapingo: https://www.wikidata.org/wiki/Q2495679 , Revista El Minero Mexicano , Sociedad Mexicana de Historia Natural: https://www.wikidata.org/wiki/Q6130937 ,","inspector general: https://www.wikidata.org/wiki/Q2305417 , Subsecretario de fomento como gerente de ferrocarril , Editor de la revista El Minero Mexicano ,","Sociedad Mexicana de Historia Natural: https://www.wikidata.org/wiki/Q6130937 , Sociedad Católica , Academia de Ciencias Naturales de Philadelphia , Sociedad Humboldt , Compañía Lancasteriana de México , Sociedad Mexicana de Geografía y Estadística: https://www.wikidata.org/wiki/Q7551902","Sociedad Mexicana de Minería , Sociedad Mexicana de Geografía y Estadística: https://www.wikidata.org/wiki/Q7551902",México: https://www.wikidata.org/wiki/Q96,,,,,,,Fundador de varias revistas religiosas; Fundo la Sociedad Mexicana de Historia Natural,La revista La Naturaleza pertenece a la Sociedad Mexicana de Historia Natural,La ciencia recreativa. Publicación dedicada a los niños de clases trabajadoras
