Autor normalizado,Nombre firma,Abreviatura,Nombre completo,Rol principal,Rol adquirido,Género,Comunidad,Subcomunidad,Año de nacimiento,Año de muerte,Lugar de nacimiento,Lugar de muerte,Formación,Fuente de institución,Profesión,Grado,Adscripción,Cargo,Afiliación,Reconocido,Movilidad,Linaje científico,Linaje descendiente,Epónimo recibido,Otorgado por,Epónimo asignado,Otorgado a,Aportación / Descubrimiento,Notas,Trabajo
Badillo Perfecto,,,Perfecto Badillo,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,algodón: https://www.wikidata.org/wiki/Q11457,,,,,,,,,,,,,,,,,,,,,,Manual para el cultivo del algodonero en el territorio del Carmen
Bailey Liberty Hyde Jr,Baillon,,Liberty Hyde Bailey: https://www.wikidata.org/wiki/Q152366,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1858,1954,Michigan: https://viaf.org/viaf/267241450,New York State: https://viaf.org/viaf/146785329,,,,,,,,,,,,,,,,,,"A preliminar synopsis of North American Carices including those of Mexico, Central America and Greenland, whith de American bibliography of the Genus"
Henri Ernest Baillon: https://www.wikidata.org/wiki/Q461931,L.H. Bailey,,Henri Ernest Baillon: https://www.wikidata.org/wiki/Q461931,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1827,1895,France: https://viaf.org/viaf/264091107,France: https://viaf.org/viaf/264091107,,,,,,"Oficial de la Orden Nacional de la Legión de Honor: https://www.wikidata.org/wiki/Q10855195 , Caballero de la Orden Nacional de la Legión de Honor: https://www.wikidata.org/wiki/Q10855271","Royal Society: https://www.wikidata.org/wiki/Q123885 , Academia Rumana: https://www.wikidata.org/wiki/Q901677 , Société Botanique de France: https://www.wikidata.org/wiki/Q1506427 , Academia de Ciencias de Rusia: https://www.wikidata.org/wiki/Q83172",,Francia: https://www.wikidata.org/wiki/Q142,,,,,Henri Théophile Bocquillon,Género Baillonia,,,"Histoire des plantes, Dictionnaire de botanique"
Baker John Gilbert,,,John Gilbert Baker,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,Agave: https://www.wikidata.org/wiki/Q155874,1834,1920,,,,,botánico: https://www.wikidata.org/wiki/Q2374149,,,,"Royal Society: https://www.wikidata.org/wiki/Q123885 , Sociedad Linneana de Londres: https://www.wikidata.org/wiki/Q867447",,,,,,,,,,Publicó 400 artículos principalmente en las revistas J. of Botany; British & Foreign; Revista de la Sociedad Linneana y Kew Bulletin,"The genus agave, Succinto della Monographia delle Agave, The species of fourcroya, A synopsis of aloinae and Yuccoideae, Handbook of the fern-allies: a synopsis of the genera and species of the natural orders, Equisetaceae, Selaginellaceae, Lycopodiaceae, Rhizocarpeae., Handbook of the Amarylidae, including the Alstroemicae and Agaveae, Handbook of the bromeliaceae"
Manuel Balbontín: https://www.wikidata.org/wiki/Q124415558,,,Manuel Balbontín: https://www.wikidata.org/wiki/Q124415558,militar: https://www.wikidata.org/wiki/Q47064,"botánico: https://www.wikidata.org/wiki/Q2374149 , novelista: https://www.wikidata.org/wiki/Q6625963",,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Los bosques
Ballcke CM,,,C. M. Ballcke,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Die Ananas und ihre Kultur. Nach eigenen Erfahrungen hearb
Balmis Berenguer Xavier Antonio,Balmis,,Xavier Antonio Balmis Berenguer,médico: https://www.wikidata.org/wiki/Q39631,"botánico: https://www.wikidata.org/wiki/Q2374149 , cirujano: https://www.wikidata.org/wiki/Q774306 , Artista",,botánica: https://www.wikidata.org/wiki/Q441,Agave: https://www.wikidata.org/wiki/Q155874,1753,1819,"Alicante, España",Madrid (Spain : Region): https://viaf.org/viaf/169605151,"Hospital Real Militar de Alicante , Real y Pontificia Universidad de México: https://www.wikidata.org/wiki/Q372529 , Universidad de Toledo: https://www.wikidata.org/wiki/Q2302319",,médico: https://www.wikidata.org/wiki/Q39631,,,,,,"España: https://www.wikidata.org/wiki/Q29 , México: https://www.wikidata.org/wiki/Q96",,,,,,,,,"Demostracion de las eficaces virtudes nuevamente descubiertas en las raices de dos plantas de Nueva-España, especies de Ágave y de Begónia, para la curacion del vicio venéreo y escrofuloso, y de otras graves enfermedades que resisten al uso del Mercurio, y demas remedios conocidos"
Banda Longinos,,,Longinos Banda León,político: https://www.wikidata.org/wiki/Q82955,"botánico: https://www.wikidata.org/wiki/Q2374149 , profesor universitario: https://www.wikidata.org/wiki/Q1622272",,botánica: https://www.wikidata.org/wiki/Q441,Expedición de México a las islas Revillagigedo,1821,1898,"Colima (Colima, México): https://viaf.org/viaf/147765557",Guadalajara (México): https://viaf.org/viaf/237191244,,,político: https://www.wikidata.org/wiki/Q82955,,,"Diputado del Congreso general , Secretario de Gobierno de la Ciudad de México: https://www.wikidata.org/wiki/Q128938786",,,México: https://www.wikidata.org/wiki/Q96,,,,,,,,Encabezo en 1862 la primer expedición de México a las islas Revillagigedo,"De la yuca, considerada como un medio muy importante de alimentación para las familias pobres"
Mariano de la Bárcena: https://www.wikidata.org/wiki/Q6762425,Mariano de la Bárcena,Bárcena,Mariano de la Bárcena: https://www.wikidata.org/wiki/Q6762425,botánico: https://www.wikidata.org/wiki/Q2374149,"profesor universitario: https://www.wikidata.org/wiki/Q1622272 , Político",,botánica: https://www.wikidata.org/wiki/Q441,,1842,1899,Jalisco (Mexico): https://viaf.org/viaf/235066448,Mexico City (Mexico): https://viaf.org/viaf/316429178,"Escuela de ingenieros , Real Academia de Bellas Artes de San Carlos: https://www.wikidata.org/wiki/Q1470761 , Escuela Nacional Preparatoria: https://www.wikidata.org/wiki/Q1367381",,"naturalista: https://www.wikidata.org/wiki/Q18805 , botánico: https://www.wikidata.org/wiki/Q2374149 , ingeniero: https://www.wikidata.org/wiki/Q81096 , geólogo: https://www.wikidata.org/wiki/Q520549",,,"Director del Observador Astronómico Nacional de México , senador de México: https://www.wikidata.org/wiki/Q19971999 , Diputado suplente al Congreso de la Unión , Secretario de Gobierno de la Ciudad de México: https://www.wikidata.org/wiki/Q128938786","Sociedad Mexicana de Historia Natural: https://www.wikidata.org/wiki/Q6130937 , Sociedad Mexicana de Geografía y Estadística: https://www.wikidata.org/wiki/Q7551902","Sociedad Mexicana de Geografía y Estadística: https://www.wikidata.org/wiki/Q7551902 , Exposición de las Clases Productoras de Jalisco",México: https://www.wikidata.org/wiki/Q96,"Barreda , Gabino Rey Santiago: https://www.wikidata.org/wiki/Q713968 , Leopoldo Río de la Loza: https://www.wikidata.org/wiki/Q5973499","Ana María de la Bárcena , Rosa de la Bárcena",Bárcena,,,,Fundó el Observador Astronómico Nacional de México,Publicó 30 libros y folletos,"El marañón. Sus caracteres y propiedades. Su aclimatación en Jalisco, Aclimatación de plantas en la República, El árbol de manitas, Viaje a la caverna de Cacahuamilpa datos para la geología y la flora de los Estados de Morelos y Guerrero, Observaciones de plantas características de climas y terrenos. Descripción de la Bygnonia Viminalis, La Hauya elegans, Descripción de una nueva planta Mexicana, (Gaudichaudia Enrico-Martinezii), Las flores nocturnas, La flor de san Juan, Fenómenos periódicos de la vegetación : estudio correspondiente al año de 1879, Calendario botánico del Valle de México. Noticia de algunas plantas que caracterizaron la floracion en el año de 1879, El jardín botánico y de aclimatación de Guadalajara, Selvicultura: breves consideraciones sobre explotación y formación de los bosques, El Bosque de Chapultepec. Informe relativo á las causas que originan la destrucción de su arbolado, Coamecate"
Barinaga Hermenegildo,,,Hermenegildo Barinaga,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Cultivo de la vida
John G. Barnard: https://www.wikidata.org/wiki/Q177497,,,John G. Barnard: https://www.wikidata.org/wiki/Q177497,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1815,1882,Sheffield (Mass.): https://viaf.org/viaf/125624190,"Detroit, Mich.: https://viaf.org/viaf/206144783065921868589",Academia Militar de los Estados Unidos: https://www.wikidata.org/wiki/Q9219,,militar: https://www.wikidata.org/wiki/Q47064,militar,,,,,,,,,,,,,,The isthmus of Tehuantepec: being the results of a survey for a bailroad to connect the Atlantic and Pacific Oceans
Barradas Francisco,,,Francisco Barradas,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Breves apuntes sobre la familia de las leguminosas, Estudio sobre la ambrosia Artemisaefolia"
José Barragán: https://www.wikidata.org/wiki/Q97657270,,,José Barragán: https://www.wikidata.org/wiki/Q97657270,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,El criptococcus del Pulque
Barriga Jose T,,,José T. Barriga,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Apuntes para el estudio del Tlanepaquelite
Juan de Barrios: https://www.wikidata.org/wiki/Q57208615,,,Juan de Barrios: https://www.wikidata.org/wiki/Q57208615,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Verdadera Medicina, astrología y cirugía"
Barroso Francisco,,,Francisco Barroso,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Apuntes sobre la vegetación del Istmo de Tehuantepec
Bartlett John Russell,,,John Russell Bartlett,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1805,1886,"Providence, Estados Unidos","Providence, Estados Unidos",Lowville Academy,,,,,,,,,,,,,,,,,Maiz or Indian Corn. Its Advantages as e Cheap and Nutritions article of use
Bartling Friedrich GottliebTheophil,,,Friedrich GottliebTheophil Bartling,naturalista: https://www.wikidata.org/wiki/Q18805,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1798,1875,"Hanover, Alemania","Hanover, Alemania",Universidad de Gotinga: https://www.wikidata.org/wiki/Q152838,,naturalista: https://www.wikidata.org/wiki/Q18805,,,,,,,,,Brongniart,Adolphe,,,,,De Galphimiis mexicanis annotationes
José Ignacio Bartolache: https://www.wikidata.org/wiki/Q17462584,,,José Ignacio Bartolache: https://www.wikidata.org/wiki/Q17462584,médico: https://www.wikidata.org/wiki/Q39631,"matemático: https://www.wikidata.org/wiki/Q170790 , escritor: https://www.wikidata.org/wiki/Q36180 , botánico: https://www.wikidata.org/wiki/Q2374149",,botánica: https://www.wikidata.org/wiki/Q441,,1739,1790,Guanajuato (Mexico): https://viaf.org/viaf/124348288,Guanajuato (Mexico): https://viaf.org/viaf/124348288,"Antiguo Colegio de San Ildefonso: https://www.wikidata.org/wiki/Q2297137 , Seminario Tridentino",,médico: https://www.wikidata.org/wiki/Q39631,,,,"Real Sociedad Bascongada de Amigos del País: https://www.wikidata.org/wiki/Q3139307 , Real Casa de Moneda de México",,México: https://www.wikidata.org/wiki/Q96,,,,,,,Publicó El Mercurio Volante; Invento unas pastillas férricas para la anemia,,"Usos y abusos del pulque para curar enfermedades, Opúsculo Guadalupano"
Bassols Batalla Narciso,,,Narciso Bassols Batalla,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Diccionario de Agricultura y economía rural o la casa rústica mexicana
Basurto Larraingar Andres,,,Andrés Basurto Larraingar,agrónomo: https://www.wikidata.org/wiki/Q1781198,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,agrónomo: https://www.wikidata.org/wiki/Q1781198,,,,,,,,,,,,,,,"La Scorzonera Hispánica, La caña agria, Instrucciones para cultivar la Sacalina"
Bateman James,Bateman,,James Bateman,Horticulturista,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1811,1897,"Lancashire, Inglaterra","Worthing, Inglaterra",Universidad de Oxford: https://www.wikidata.org/wiki/Q34433,,Horticulturista,,,,,,Inglaterra: https://www.wikidata.org/wiki/Q21,,,Batemannia,Lindley,,,,,"The orchidaceae of México and Guatemala, A monograph of Odontoglossum"
Batlasa Zara,,,,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,
Baud Pierre Celestin Victor,Baud Victor,,Victor Pierre Celestin Baud,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1814,,"Bourganeuf, Francia",,,,,,,,,,,,,,,,,,,"La Zéide, substance alimentaire extraite du maís"
Bahuino Gaspar,,,Gaspar Bahuino,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Histoire des plantes de l'Europe, et des plus usitées qui viennent d'Asie, d'Afrique, & d'Amérique. : Où l'on voit leurs figures, leurs noms, en quel tems elles fleurissent, & le lieu où elles croissent. Avec un abregé de leurs qualitez, & de leurs vertus specifiques. De solanum Mexicanum, De Bryonia Mechoacana nigricans"
Johann Bauhin: https://www.wikidata.org/wiki/Q123660,,,,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Historia plantarum universalis nova et absolutussuma, cum consensu et dissensu circa esa"
Baz Agustin,,,Agustín Baz,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Opúsculo sobre la Valeriana, presentado a la Escuela de Medicina, en el concurso a la agregación de la cátedra de Farmacia"
Baz Gustavo A,,,Gustavo A. Baz,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Apuntes para el cultivo de las Dunas en México
Beaufoy Mark,,,Mark Beaufoy,astrónomo: https://www.wikidata.org/wiki/Q11063,"Físico , botánico: https://www.wikidata.org/wiki/Q2374149",,botánica: https://www.wikidata.org/wiki/Q441,,1764,1827,,,,,astrónomo: https://www.wikidata.org/wiki/Q11063,militar,,Capitán de la Compañía de Voluntarios de Hackney,,,,,,,,,,,,"Mexican ilustrations & insterspersed with occasional remarks upon the climate, produce and antiquites of the country"
Carl Christian Becher: https://www.wikidata.org/wiki/Q94915064,,,Carl Christian Becher: https://www.wikidata.org/wiki/Q94915064,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,México in erei gnissoolen Jahre
Beer Johann Georg,Beer,,Johann Georg Beer,botánico: https://www.wikidata.org/wiki/Q2374149,gastador: https://www.wikidata.org/wiki/Q2314719,,botánica: https://www.wikidata.org/wiki/Q441,Orchidaceae: https://www.wikidata.org/wiki/Q25308,1803,1873,Vienne (Autriche): https://viaf.org/viaf/45145424500086831364,Vienne (Autriche): https://viaf.org/viaf/45145424500086831364,,,botánico: https://www.wikidata.org/wiki/Q2374149,,,,Academia Alemana de las Ciencias Naturales Leopoldina: https://www.wikidata.org/wiki/Q543804,,"Austria: https://www.wikidata.org/wiki/Q40 ,",,,,,,,Realizó varias expediciones botánicas a Sudamérica,,"Praktische Studien an der Familie der Orchideen, nebst Kulturanweisungen und Beschreibung aller schonblühenden tropischen Orchideen, Die Familie der Bromeliaceen. Nach ihrem habituellen Charakter bearbeitet mit besonderer Berücksichtigung der Ananassa, Beiträge zur morphologie und biologie der familie der orchideen"
Beltran y Puga Guillermo,Guillermo,,Guillermo Beltran y Puga,,,,botánica: https://www.wikidata.org/wiki/Q441,,1891,,,,,,,,,,,,,,,,,,,,,"Reseña de la topografía y geología de la Sierra de Guadalupe, Reseña de una excursión a la caverna de Cacahuamilpa y a la gruta Carlos Pacheco"
Benavides Alfonso de,,,Alfonso de Benavides,misionero: https://www.wikidata.org/wiki/Q219477,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1578,1635,Portugal,Brazil: https://viaf.org/viaf/142985214,,,,,,,,,,,,,,,,,,"Relatio quam Philippo IV. catholico Hispaniarum, & c. regiper modum memorialis, sive libelli supplicis exhibuit Reverendiss"
Pedro Arias de Benavides: https://www.wikidata.org/wiki/Q19423911,,,Pedro Arias de Benavides: https://www.wikidata.org/wiki/Q19423911,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1521,,,,,,,,,,,,,,,,,,,,,Secretos de Chirurgia especial de las enfermedades de Morbo gálico y Lamparones y Mirrarchia y asi mismo la manera como se curan los Indios de llagas y heridas y otras pasiones en las Indias
Carlo Beni: https://www.wikidata.org/wiki/Q3659060,,,Carlo Beni: https://www.wikidata.org/wiki/Q3659060,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Pulque dei Messicani
Bentham George,Benth,Benth,George Bentham,micólogo: https://www.wikidata.org/wiki/Q2487799,"botánico: https://www.wikidata.org/wiki/Q2374149 , pteridólogo: https://www.wikidata.org/wiki/Q16334509 , Taxònomo , profesor universitario: https://www.wikidata.org/wiki/Q1622272 , investigador: https://www.wikidata.org/wiki/Q1650915",,botánica: https://www.wikidata.org/wiki/Q441,taxonomía biológica: https://www.wikidata.org/wiki/Q8269924,1800,1884,"Stoke, Reino Unido",London (England): https://viaf.org/viaf/8676155769103627880004,,,"micólogo: https://www.wikidata.org/wiki/Q2487799 , abogado: https://www.wikidata.org/wiki/Q40348",,,Presidente de Sociedad Linneana de Londres,"Academia Alemana de las Ciencias Naturales Leopoldina: https://www.wikidata.org/wiki/Q543804 , Academia de Ciencias de Francia: https://www.wikidata.org/wiki/Q188771 , Real Academia de las Ciencias de Suecia: https://www.wikidata.org/wiki/Q191583 , Academia Estadounidense de las Artes y las Ciencias: https://www.wikidata.org/wiki/Q463303 , Sociedad Zoológica de Londres: https://www.wikidata.org/wiki/Q220198 , Academia Prusiana de las Ciencias: https://www.wikidata.org/wiki/Q329464",,Europa: https://www.wikidata.org/wiki/Q218640,Joseph Dalton Hooker: https://www.wikidata.org/wiki/Q157501,,"Benthamia, Neobenthamia, Benthamiella","Lindley y Richard, Rolfe, Wettstein y Spegazzini",,,Generó un sistema taxonómico,,"Plantas Hartwegianas: imprimis mexicanas adjectis nonnullis Grahamianis enumerat novasque describit, The Boyany of the Voyage of H.M.S, Notes on Loganiaceae, A synopsis of the Dalbergiane.A Tribe of the Leguminosae, Genera plantarum ad exemplaria imprimis in herbariis Kewensibus servata definita, On the Genera Swetia, Glycinae, Revision of the Genus Cassia, Revision of the suborder mimeseae, Notes on Euphorbiaceae, Notes on Cyperaceae, Notes on Orchideae, Notes on Gramineae"
Otto Karl Berg: https://www.wikidata.org/wiki/Q67868,O. Berg,,Otto Karl Berg: https://www.wikidata.org/wiki/Q67868,farmacéutico: https://www.wikidata.org/wiki/Q105186,"botánico: https://www.wikidata.org/wiki/Q2374149 , profesor universitario: https://www.wikidata.org/wiki/Q1622272",,botánica: https://www.wikidata.org/wiki/Q441,,1815,1866,"Szczecin, Polonia",Berlín: https://viaf.org/viaf/122530980,Universidad Humboldt de Berlín: https://www.wikidata.org/wiki/Q152087,,farmacéutico: https://www.wikidata.org/wiki/Q105186,,,,,,,,,,,,,Se especializó en la flora sudamericana,,"Revisio myrtacearum Americae, Ad myrtacearum Americanaru, Aequinoxialium recisionem Mantissae"
Berlandiere Jean Louis,Berland,,Jean Louis Berlandiere,médico: https://www.wikidata.org/wiki/Q39631,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1805,1851,France: https://viaf.org/viaf/264091107,Tamaulipas (Mexico : State): https://viaf.org/viaf/132512733,,,"médico: https://www.wikidata.org/wiki/Q39631 , antropólogo: https://www.wikidata.org/wiki/Q4773904 , naturalista: https://www.wikidata.org/wiki/Q18805",,,,,,,,,Berlandiera,De Candolle,,,Hizo viajes de recolección de animales y plantas en Texas y otras partes de México,,"Diario del Viaje de la Comision de limites que puso el gobierno de la República bajo la dirección del Exmo. Sr. General de División D. Manuel de Mier y Terán, Expedición científica del General Terán a Texas"
Bermudez de Castro Juan,,,Juan Bermudez de Castro,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Sobre el uso medicinal de la Cebadilla, Otra sobre el mismo asunto"
Bernon E,,,,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Étude de l´ecorce de Sapotillier
Bertoloni Antonio,Bertol,Bertol.,Antonio Bertoloni,"médico: https://www.wikidata.org/wiki/Q39631 , botánico: https://www.wikidata.org/wiki/Q2374149",Profesor,,botánica: https://www.wikidata.org/wiki/Q441,,1775,1869,"Liguria, Italia",Bologna (Italy : Province): https://viaf.org/viaf/312794095,Universidad de Pavía: https://www.wikidata.org/wiki/Q219317,,médico: https://www.wikidata.org/wiki/Q39631,,"Universidad de Bolonia: https://www.wikidata.org/wiki/Q131262 , Universidad de Génova: https://www.wikidata.org/wiki/Q593321",,"Academia Alemana de las Ciencias Naturales Leopoldina: https://www.wikidata.org/wiki/Q543804 , Academia de Ciencias de Turín: https://www.wikidata.org/wiki/Q2822396",,"Italia: https://www.wikidata.org/wiki/Q38 , Alemania: https://www.wikidata.org/wiki/Q183",Pietro Bubani: https://www.wikidata.org/wiki/Q684026,,"Bertolonia, Allium bertoloni, Ophrys bertolonii, Panicum bertolonianum","Agustin Pyrame De Candolle, Giuseppe De Notaris, Giuseppe L. Moretti, Josef August Schultes",,,,,"Flora italica, sistens plantas in Italia et insulis circumstantibus sponte nascentes"
Émile Bescherelle: https://www.wikidata.org/wiki/Q8078265,Besch,,Émilie Beschellere,"farmacéutico: https://www.wikidata.org/wiki/Q105186 , botánico: https://www.wikidata.org/wiki/Q2374149 , briólogo: https://www.wikidata.org/wiki/Q16334507",,,botánica: https://www.wikidata.org/wiki/Q441,,1828,1903,France: https://viaf.org/viaf/170385099,France: https://viaf.org/viaf/264091107,,,farmacéutico: https://www.wikidata.org/wiki/Q105186,,,,Société Botanique de France: https://www.wikidata.org/wiki/Q1506427,,Francia: https://www.wikidata.org/wiki/Q142,,,,,,,,,"Note sur les mousses du Méxique, Prodromus bryologiae mexicanae ou enumeration des mousses du Mexique avec description des espéces nouvelles, Mexicanas Plantas: Musci"
Rómulo Betancourt: https://www.wikidata.org/wiki/Q332081,,,Rómulo Betancourt: https://www.wikidata.org/wiki/Q332081,político: https://www.wikidata.org/wiki/Q82955,periodista: https://www.wikidata.org/wiki/Q1930187,,botánica: https://www.wikidata.org/wiki/Q441,,1908,1981,Venezuela: https://viaf.org/viaf/235482277,Estados Unidos: https://viaf.org/viaf/130168302,,,político: https://www.wikidata.org/wiki/Q82955,,,"Senador vitalicio de Venezuela , Presidente de la República de Venezuela , Presidente de Acción Democrática ,",Buró Político del Partido Comunista Costarricense,,"Estados Unidos: https://www.wikidata.org/wiki/Q30 ,",,,,,,,,Fundó el partido Acción Democrática,Estudio sobre el ahuacate
William Bullock: https://www.wikidata.org/wiki/Q919862,,Bullock,William Bullock,naturalista: https://www.wikidata.org/wiki/Q18805,"botánico: https://www.wikidata.org/wiki/Q2374149 , Anticuario , viajero: https://www.wikidata.org/wiki/Q22813352",,botánica: https://www.wikidata.org/wiki/Q441,,1773,1849,"Sheffield, Inglaterra",London (England): https://viaf.org/viaf/8676155769103627880004,,,zoólogo: https://www.wikidata.org/wiki/Q350979,,,director de museo: https://www.wikidata.org/wiki/Q22132694,Sociedad Linneana de Londres: https://www.wikidata.org/wiki/Q867447,,"Inglaterra: https://www.wikidata.org/wiki/Q21 , México: https://www.wikidata.org/wiki/Q96",,,,,,,,Fundó un museo de curiosidades naturales en Lord Street,"Le Mexique en 1823, ou relation d´un voyage dans la Nouvelle-Espagne: : contenant des notions exactes et peu connues sur la situation physique, morale et politique de ce pays."
Lucien Biart: https://www.wikidata.org/wiki/Q18000273,,,Lucien Biart: https://www.wikidata.org/wiki/Q18000273,médico: https://www.wikidata.org/wiki/Q39631,"naturalista: https://www.wikidata.org/wiki/Q18805 , botánico: https://www.wikidata.org/wiki/Q2374149 , escritor: https://www.wikidata.org/wiki/Q36180 , Científico",,botánica: https://www.wikidata.org/wiki/Q441,,1829,1897,"Versalles, Francia",France: https://viaf.org/viaf/170385099,Academia de Medicina de Puebla,,médico: https://www.wikidata.org/wiki/Q39631,,,,,,,,,,,,,,,"Aventuras de una naturalista en Méjico, La terre chaude; scénes de moeurs Mexicaines, La terre trempereé"
Bigelow Jacob,Bigelow,,Jacob Bigelow,"médico: https://www.wikidata.org/wiki/Q39631 , arquitecto: https://www.wikidata.org/wiki/Q42973 , zoólogo: https://www.wikidata.org/wiki/Q350979","botánico: https://www.wikidata.org/wiki/Q2374149 , profesor universitario: https://www.wikidata.org/wiki/Q1622272",,botánica: https://www.wikidata.org/wiki/Q441,,1787,1879,Massachusetts: https://viaf.org/viaf/130169058,Massachusetts: https://viaf.org/viaf/130169058,"Universidad Harvard: https://www.wikidata.org/wiki/Q13371 , Universidad de Pensilvania: https://www.wikidata.org/wiki/Q49117",,"médico: https://www.wikidata.org/wiki/Q39631 , arquitecto: https://www.wikidata.org/wiki/Q42973",,,,Academia Estadounidense de las Artes y las Ciencias: https://www.wikidata.org/wiki/Q463303,,"Estados Unidos: https://www.wikidata.org/wiki/Q30 , México: https://www.wikidata.org/wiki/Q96",,,Bigelowia,De Candolle,,,,,"American medical botany: being a collection of the native medicinal plants of the United States, containing their botanical history and chemical analysis, and properties and uses in medicine, diet and the arts, with coloured engravings, Botanice profil representing the geographical distribution of the Forest Trees aling a route fron Ar-kansas to Mexico"
Blazquez Ignacio,,,Ignacio Blazquez,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Memoria sobre el Maguey mexicano (agave maximilianea), Nosología de las plantas. El chahuistle, El maguey considerado como planta productora del suelo mexicano, Catálogo de las especies y variedades de Maguey que se cultivan en los Llanos de Apam y figura en perfil de sus pencas, Noches de verano o estudios familiares sobre la Historia Natural"
Blazquez Pedro,,,Pedro Blazquez,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Memoria sobre el Maguey mexicano (agave maximilianea), Nosología de las plantas. El chahuistle, El maguey considerado como planta productora del suelo mexicano, Catálogo de las especies y variedades de Maguey que se cultivan en los Llanos de Apam y figura en perfil de sus pencas, Noches de verano o estudios familiares sobre la Historia Natural"
Henri Bocquillon-Limousin: https://www.wikidata.org/wiki/Q36571011,,,Henri Bocquillon-Limousin: https://www.wikidata.org/wiki/Q36571011,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1856,1917,,,,,,,,,,,,,,,,,,,,Les plantes alexitéres de l´Amérique
